date,rainfall
1/1/2021,0
1/2/2021,0
1/3/2021,0
1/4/2021,1.89
1/5/2021,0.07
1/6/2021,0.5
1/7/2021,0
1/8/2021,0.82
1/9/2021,0
1/10/2021,0.18
1/11/2021,0
1/12/2021,0.24
1/13/2021,0
1/14/2021,0
1/15/2021,0
1/16/2021,0.09
1/17/2021,0
1/18/2021,0.55
1/19/2021,0.96
1/20/2021,0
1/21/2021,0
1/22/2021,0
1/23/2021,0
1/24/2021,0
1/25/2021,0
1/26/2021,0
1/27/2021,0.6
1/28/2021,0
1/29/2021,0
1/30/2021,0.63
1/31/2021,0.12
2/1/2021,0
2/2/2021,0
2/3/2021,0
2/4/2021,0
2/5/2021,0
2/6/2021,0
2/7/2021,0
2/8/2021,0.71
2/9/2021,0
2/10/2021,0
2/11/2021,0.13
2/12/2021,0
2/13/2021,0
2/14/2021,0
2/15/2021,0
2/16/2021,0
2/17/2021,0
2/18/2021,0
2/19/2021,0.06
2/20/2021,0
2/21/2021,0.24
2/22/2021,0
2/23/2021,0
2/24/2021,0
2/25/2021,0.22
2/26/2021,0
2/27/2021,0
2/28/2021,0
3/1/2021,0
3/2/2021,0
3/3/2021,0
3/4/2021,0
3/5/2021,0
3/6/2021,0
3/7/2021,0
3/8/2021,0
3/9/2021,0.21
3/10/2021,0.11
3/11/2021,0.22
3/12/2021,0
3/13/2021,0
3/14/2021,0
3/15/2021,0
3/16/2021,0
3/17/2021,0
3/18/2021,0
3/19/2021,0
3/20/2021,0
3/21/2021,0
3/22/2021,0
3/23/2021,0
3/24/2021,0.34
3/25/2021,0
3/26/2021,0
3/27/2021,0.99
3/28/2021,0
3/29/2021,0
3/30/2021,0
3/31/2021,0
4/1/2021,0
4/2/2021,8.53
4/3/2021,0
4/4/2021,1.07
4/5/2021,0.26
4/6/2021,0
4/7/2021,0
4/8/2021,2.85
4/9/2021,1.23
4/10/2021,3.37
4/11/2021,0
4/12/2021,2.13
4/13/2021,0
4/14/2021,11.43
4/15/2021,15.2
4/16/2021,12.46
4/17/2021,1.65
4/18/2021,1.27
4/19/2021,1.76
4/20/2021,0.23
4/21/2021,32.59
4/22/2021,21.82
4/23/2021,26.31
4/24/2021,0.03
4/25/2021,5.83
4/26/2021,2.41
4/27/2021,0.36
4/28/2021,0.08
4/29/2021,0
4/30/2021,0
5/1/2021,0.01
5/2/2021,0
5/3/2021,0
5/4/2021,0
5/5/2021,0.52
5/6/2021,4.92
5/7/2021,7.25
5/8/2021,9.03
5/9/2021,0.39
5/10/2021,0
5/11/2021,0.35
5/12/2021,10.58
5/13/2021,0.65
5/14/2021,10.18
5/15/2021,12.44
5/16/2021,20.32
5/17/2021,38.06
5/18/2021,13.74
5/19/2021,11.71
5/20/2021,10.85
5/21/2021,23.44
5/22/2021,9.79
5/23/2021,21.11
5/24/2021,26.73
5/25/2021,16.01
5/26/2021,5.74
5/27/2021,11.14
5/28/2021,1.57
5/29/2021,4.46
5/30/2021,0
5/31/2021,8.23
6/1/2021,9.68
6/2/2021,12.9
6/3/2021,2.08
6/4/2021,0
6/5/2021,7.95
6/6/2021,19.75
6/7/2021,10.79
6/8/2021,16.61
6/9/2021,3.25
6/10/2021,12.08
6/11/2021,21.16
6/12/2021,2.77
6/13/2021,0.27
6/14/2021,8.4
6/15/2021,22.36
6/16/2021,5.45
6/17/2021,12.07
6/18/2021,2.49
6/19/2021,8.28
6/20/2021,2.4
6/21/2021,6.12
6/22/2021,5.43
6/23/2021,7.19
6/24/2021,0
6/25/2021,0.67
6/26/2021,0.06
6/27/2021,0
6/28/2021,0
6/29/2021,7.51
6/30/2021,6.64
7/1/2021,0.06
7/2/2021,0
7/3/2021,6.11
7/4/2021,8.38
7/5/2021,12.28
7/6/2021,27.31
7/7/2021,16
7/8/2021,1.86
7/9/2021,0.42
7/10/2021,0
7/11/2021,2.55
7/12/2021,8.92
7/13/2021,28.65
7/14/2021,20.14
7/15/2021,23
7/16/2021,0
7/17/2021,0
7/18/2021,13.53
7/19/2021,5.6
7/20/2021,1.08
7/21/2021,0
7/22/2021,2.38
7/23/2021,10.37
7/24/2021,10.4
7/25/2021,0.68
7/26/2021,0
7/27/2021,4.64
7/28/2021,5.2
7/29/2021,23.86
7/30/2021,4.03
7/31/2021,9.25
8/1/2021,0.27
8/2/2021,0
8/3/2021,27.99
8/4/2021,8.39
8/5/2021,0
8/6/2021,0
8/7/2021,4.91
8/8/2021,5.76
8/9/2021,5.74
8/10/2021,13.62
8/11/2021,11.13
8/12/2021,4.55
8/13/2021,3.64
8/14/2021,24.86
8/15/2021,4.5
8/16/2021,6.62
8/17/2021,10.8
8/18/2021,7.93
8/19/2021,4.3
8/20/2021,3.39
8/21/2021,0
8/22/2021,16.68
8/23/2021,29.52
8/24/2021,14.75
8/25/2021,15.86
8/26/2021,13.87
8/27/2021,18.9
8/28/2021,12.2
8/29/2021,12.19
8/30/2021,9
8/31/2021,15.44
9/1/2021,2.89
9/2/2021,13.44
9/3/2021,22.74
9/4/2021,19.42
9/5/2021,17.69
9/6/2021,1.72
9/7/2021,17.18
9/8/2021,1.37
9/9/2021,9.61
9/10/2021,28.66
9/11/2021,5.12
9/12/2021,5.84
9/13/2021,13.35
9/14/2021,14.74
9/15/2021,0.05
9/16/2021,11.33
9/17/2021,13.2
9/18/2021,20.39
9/19/2021,13.47
9/20/2021,0.21
9/21/2021,11.41
9/22/2021,15.7
9/23/2021,11.39
9/24/2021,22.43
9/25/2021,16.98
9/26/2021,18.5
9/27/2021,0
9/28/2021,11.59
9/29/2021,21.22
9/30/2021,13.57
10/1/2021,4.65
10/2/2021,18.34
10/3/2021,17.49
10/4/2021,19.44
10/5/2021,14.56
10/6/2021,23.29
10/7/2021,20.23
10/8/2021,0.12
10/9/2021,22.23
10/10/2021,16.3
10/11/2021,30.75
10/12/2021,6.49
10/13/2021,9.05
10/14/2021,18.4
10/15/2021,25.72
10/16/2021,14.64
10/17/2021,5.47
10/18/2021,2.54
10/19/2021,4.49
10/20/2021,17.92
10/21/2021,12.15
10/22/2021,17.72
10/23/2021,9.78
10/24/2021,10.88
10/25/2021,10.08
10/26/2021,19.63
10/27/2021,16.96
10/28/2021,0
10/29/2021,15.62
10/30/2021,0.38
10/31/2021,5.2
11/1/2021,2.13
11/2/2021,0.38
11/3/2021,10.48
11/4/2021,0
11/5/2021,0.04
11/6/2021,5.11
11/7/2021,3.35
11/8/2021,1.21
11/9/2021,8.13
11/10/2021,0
11/11/2021,12.82
11/12/2021,0.07
11/13/2021,0.06
11/14/2021,4.31
11/15/2021,5.33
11/16/2021,2.23
11/17/2021,3.7
11/18/2021,2.62
11/19/2021,0
11/20/2021,2.04
11/21/2021,0
11/22/2021,0.2
11/23/2021,0.27
11/24/2021,2.94
11/25/2021,3.73
11/26/2021,8.73
11/27/2021,8.51
11/28/2021,8.97
11/29/2021,2.9
11/30/2021,2.15
12/1/2021,0.18
12/2/2021,2.47
12/3/2021,0
12/4/2021,0.15
12/5/2021,0
12/6/2021,0
12/7/2021,2.55
12/8/2021,0
12/9/2021,0
12/10/2021,0
12/11/2021,0
12/12/2021,0
12/13/2021,0.03
12/14/2021,0
12/15/2021,0
12/16/2021,0
12/17/2021,2.79
12/18/2021,0
12/19/2021,0
12/20/2021,0
12/21/2021,0
12/22/2021,0
12/23/2021,0
12/24/2021,1.02
12/25/2021,0.03
12/26/2021,0
12/27/2021,0.33
12/28/2021,3.87
12/29/2021,0
12/30/2021,4.37
12/31/2021,0
1/1/2022,0
1/2/2022,0.29
1/3/2022,0
1/4/2022,0
1/5/2022,0.7
1/6/2022,0
1/7/2022,0
1/8/2022,0
1/9/2022,0
1/10/2022,0
1/11/2022,0
1/12/2022,0
1/13/2022,0.32
1/14/2022,0
1/15/2022,0
1/16/2022,0
1/17/2022,0
1/18/2022,0
1/19/2022,0
1/20/2022,0
1/21/2022,0
1/22/2022,0
1/23/2022,0
1/24/2022,0
1/25/2022,0.98
1/26/2022,0
1/27/2022,0
1/28/2022,0
1/29/2022,0
1/30/2022,1.79
1/31/2022,0
2/1/2022,0
2/2/2022,0
2/3/2022,0
2/4/2022,0.04
2/5/2022,0
2/6/2022,0
2/7/2022,0
2/8/2022,0.28
2/9/2022,0
2/10/2022,0
2/11/2022,0.01
2/12/2022,0.08
2/13/2022,0
2/14/2022,0.39
2/15/2022,0.16
2/16/2022,0
2/17/2022,0.1
2/18/2022,0
2/19/2022,0
2/20/2022,0.03
2/21/2022,0.35
2/22/2022,3.68
2/23/2022,0.14
2/24/2022,0.19
2/25/2022,0.81
2/26/2022,0
2/27/2022,0
2/28/2022,0
3/1/2022,0
3/2/2022,0.5
3/3/2022,0
3/4/2022,0
3/5/2022,1.67
3/6/2022,0
3/7/2022,0.01
3/8/2022,0
3/9/2022,0
3/10/2022,0.28
3/11/2022,0
3/12/2022,1.46
3/13/2022,0
3/14/2022,1.1
3/15/2022,0
3/16/2022,0
3/17/2022,0
3/18/2022,0.01
3/19/2022,0.2
3/20/2022,0.15
3/21/2022,0
3/22/2022,3.55
3/23/2022,1.81
3/24/2022,0
3/25/2022,0
3/26/2022,0
3/27/2022,4.65
3/28/2022,9.38
3/29/2022,3.15
3/30/2022,14.84
3/31/2022,14.1
4/1/2022,0.22
4/2/2022,0
4/3/2022,0
4/4/2022,5.57
4/5/2022,5.66
4/6/2022,2.63
4/7/2022,0.94
4/8/2022,0
4/9/2022,0
4/10/2022,0
4/11/2022,0
4/12/2022,0
4/13/2022,1.51
4/14/2022,7.06
4/15/2022,4.68
4/16/2022,8.88
4/17/2022,0
4/18/2022,0
4/19/2022,0
4/20/2022,1.46
4/21/2022,0
4/22/2022,0
4/23/2022,1.66
4/24/2022,2.48
4/25/2022,0.03
4/26/2022,7.02
4/27/2022,1.21
4/28/2022,3.38
4/29/2022,15.57
4/30/2022,13.81
5/1/2022,17.53
5/2/2022,1.66
5/3/2022,14.29
5/4/2022,19.93
5/5/2022,10.49
5/6/2022,1.26
5/7/2022,0
5/8/2022,5.72
5/9/2022,0.11
5/10/2022,5.22
5/11/2022,9.35
5/12/2022,8.2
5/13/2022,6.31
